dataset,model,calibration,shift,severity,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc,accuracy_ci95,mean_confidence_ci95,confidence_gap_ci95,ece_ci95,brier_ci95,nll_ci95,aurc_ci95
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.4,0.9333333333333333,0.916176377955814,-0.017156955377519302,0.055867242471941435,0.10730102814762318,0.19861159049569926,0.014821279827735628,0.01008702956411942,0.009403692973630954,0.014627001254992316,0.00768197506736027,0.01594971633975265,0.03332802209919156,0.005028063463766689
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.5,0.9105263157894736,0.8955551864499031,-0.014971129339570672,0.06594755616848728,0.14073027715032776,0.24341393135542214,0.02168373038188109,0.016762287781949426,0.01133943505146985,0.02113847182533697,0.008284730786673501,0.02009835148238262,0.03063865155061801,0.005925379998728528
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,0.0,0.9631578947368421,0.9629851645959739,-0.0001727301408680604,0.03451857904025939,0.057816048731678074,0.11349010621584968,0.004548380065314975,0.006786100311751666,0.006180795997701155,0.00893245337141921,0.004419008727827333,0.008169162185094864,0.020220267868004616,0.001801542834689713
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,0.25,0.9543859649122807,0.9552712544186617,0.0008852895063810207,0.03810451611458887,0.06672914120671518,0.12280379070816258,0.004966464899924348,0.0075459680534077965,0.006627656771213293,0.008824940889907845,0.003928689456747837,0.00935761768672961,0.02119436813225381,0.0018095864651852362
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,0.5,0.9368421052631579,0.9304559005861602,-0.006386204676997692,0.046799197133157236,0.09890639167836468,0.17617054794003362,0.011582297048158231,0.007849138863659243,0.010109620465154043,0.01180863002528812,0.005185590095374184,0.00994166643667168,0.017714730839886696,0.0035426922132949057
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,1.0,0.8570175438596491,0.8789577497140403,0.02194020585439114,0.07916282792222562,0.2070697969983752,0.33914585354989113,0.04425854933304747,0.01578229240611763,0.010116738982277333,0.018750826112401885,0.012062827446402642,0.024888952707037233,0.04178748929422366,0.011064350295468468
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,1.5,0.7736842105263158,0.8417321229057663,0.06804791237945054,0.0971716651682745,0.30309646485200425,0.4756755536789041,0.09499422945398053,0.01978471223570932,0.012312692123339748,0.020688981276473343,0.015640768057292427,0.02498722660833142,0.04055003940278045,0.014935340098471028
Breast Cancer,Gradient Boosting,Temperature scaled,Gaussian noise,2.0,0.7293859649122807,0.8254983040096127,0.09611233909733197,0.12539561234293412,0.376511295541938,0.5917786516757995,0.14589460456486883,0.022770668882537263,0.014347094902456088,0.024535200080253724,0.01964481368009989,0.02937007203801169,0.04985323069669727,0.016924253857087068
Breast Cancer,Logistic Regression,Raw,Feature masking,0.0,0.974561403508772,0.967858768436965,-0.006702635071806989,0.02966931502496959,0.040100479956364996,0.07474975365174073,0.002205406512083294,0.005837091174298344,0.0031597195133449053,0.005793869820809144,0.0023817210674262476,0.006747729494197369,0.012523116070379722,0.0009516052086194179
Breast Cancer,Logistic Regression,Raw,Feature masking,0.1,0.9719298245614034,0.9611969430806429,-0.010732881480760592,0.032211023386015884,0.045669249954701736,0.08443938468565809,0.0026865763222658967,0.007849138863659236,0.0033026383640505537,0.006741412717127599,0.0029580891052734723,0.007742289103892951,0.012893143430940921,0.0010214063314162665
Breast Cancer,Logistic Regression,Raw,Feature masking,0.2,0.9618421052631578,0.9536245308484043,-0.008217574414753532,0.03686994824822013,0.05668308421971804,0.10193300901464826,0.0039218986228336,0.0073023585168516545,0.003144674896723323,0.006956508567105897,0.005067643033321221,0.008490970867792831,0.015312381071929528,0.0016518873773572326
Breast Cancer,Logistic Regression,Raw,Feature masking,0.3,0.9609649122807017,0.9414649062322846,-0.0195000060484171,0.04271006475558316,0.061378821443851664,0.11244999771062199,0.004410645754642277,0.0071080258641807725,0.003960958475891467,0.0072203547844058875,0.005196830538575103,0.008615568941493328,0.014283364916298698,0.0016615429048418603
Breast Cancer,Logistic Regression,Raw,Feature masking,0.4,0.9513157894736842,0.9314315400098184,-0.01988424946386581,0.05079316557345548,0.07451458352997037,0.1304992993171002,0.005390436790053575,0.008861608991238145,0.005186536601504953,0.010676647365515431,0.00640526385024069,0.00933453786766027,0.013819616560058097,0.0020344509346343805
Breast Cancer,Logistic Regression,Raw,Feature masking,0.5,0.9425438596491228,0.9140549756632967,-0.02848888398582595,0.05721287021998295,0.09119052075476061,0.16176336984160455,0.008858426521674675,0.010764148373988204,0.006059214538794727,0.011824649494485008,0.0067321845412149535,0.009816708951520368,0.014450199144213726,0.0026401524247802784
Breast Cancer,Logistic Regression,Raw,Gaussian noise,0.0,0.974561403508772,0.967858768436965,-0.006702635071806989,0.02966931502496959,0.040100479956364996,0.07474975365174073,0.002205406512083294,0.005837091174298344,0.0031597195133449053,0.005793869820809144,0.0023817210674262476,0.006747729494197369,0.012523116070379722,0.0009516052086194179
Breast Cancer,Logistic Regression,Raw,Gaussian noise,0.25,0.968859649122807,0.9666210629531682,-0.0022385861696388788,0.03192738595455326,0.047952448114890175,0.08272103496290377,0.0023984794576001897,0.006771756393130796,0.0031937522250539583,0.006604898946496993,0.0029349171161979788,0.008281514699846493,0.013198280399609515,0.0008576649409418579
Breast Cancer,Logistic Regression,Raw,Gaussian noise,0.5,0.9539473684210525,0.9630143485419259,0.009066980120873359,0.03849039346152666,0.06479062854372877,0.11005615383625134,0.0040509435614222876,0.007042056679569685,0.0032983729304132967,0.007320181782859771,0.004172352004963598,0.008488699942598472,0.015605250867357577,0.0012275459106436282
Breast Cancer,Logistic Regression,Raw,Gaussian noise,1.0,0.9228070175438596,0.9555430376959897,0.03273602015213018,0.058793412469743386,0.12298272139374473,0.22675271908081931,0.014121169691635899,0.010255285787757737,0.004913544417718455,0.008492028619887862,0.00660614964574008,0.015176527245667296,0.035813766398238474,0.0037001268188865313
Breast Cancer,Logistic Regression,Raw,Gaussian noise,1.5,0.8675438596491227,0.9517030033559004,0.08415914370677766,0.10434401684064962,0.2152838284492154,0.48538938356392,0.03766274755322845,0.010278016408450689,0.004486630539367683,0.009891193530785786,0.012039382757434198,0.02233753435648328,0.07353755585034201,0.006832478770445158
Breast Cancer,Logistic Regression,Raw,Gaussian noise,2.0,0.8149122807017545,0.9551314036590494,0.14021912295729505,0.15683475753623194,0.3194096991118897,0.8871474615702487,0.07010200766691434,0.015772431553917148,0.004731793073439786,0.015439544176262717,0.01229982277869166,0.025186833148966477,0.09796799319406935,0.008947794894989812
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.0,0.974561403508772,0.9724786389184432,-0.0020827645903286228,0.0301286543783335,0.04100614111347379,0.08174262615427785,0.002205406512083294,0.005837091174298344,0.005882980300464974,0.00798186429103362,0.003870418122996555,0.00693671833980729,0.015723942749653972,0.0009516052086194179
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.1,0.9719298245614034,0.9671629484908302,-0.004766876070573317,0.031149046968756457,0.046191985757086815,0.09718074662189005,0.0026865763222658967,0.007849138863659236,0.00724965926215657,0.010065777033563076,0.004476901983981755,0.008119468407306497,0.02365786892622729,0.0010214063314162665
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.2,0.9618421052631578,0.9607300086933636,-0.0011120965697943518,0.03922118576517917,0.057765041471555735,0.115089889621621,0.0039218986228336,0.0073023585168516545,0.008591606039789252,0.010717216142347217,0.0047291522987484985,0.008543272126921285,0.020593565263557462,0.0016518873773572326
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.3,0.9609649122807017,0.9499003088202562,-0.011064603460445539,0.043075189150009685,0.06263592509326427,0.11755502882044326,0.004410645754642277,0.0071080258641807725,0.01025043725340203,0.01309813928921108,0.006376219772979956,0.009197713576178634,0.017163015465274507,0.0016615429048418603
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.4,0.9513157894736842,0.9424793838696702,-0.00883640560401397,0.04945739642778274,0.07513592748005754,0.13579715415502902,0.005390436790053575,0.008861608991238145,0.011177300823125354,0.01377585463807195,0.008101822737492435,0.011424356284417793,0.02117166557458932,0.0020344509346343805
Breast Cancer,Logistic Regression,Temperature scaled,Feature masking,0.5,0.9425438596491228,0.9268026388510135,-0.015741220798109246,0.0554700408975257,0.0920235650992525,0.17504836413895491,0.008858426521674675,0.010764148373988204,0.014967849999761883,0.018460672818489062,0.008510475976645044,0.012424407622882909,0.03405223384586931,0.0026401524247802784
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.974561403508772,0.9724786389184432,-0.0020827645903286228,0.0301286543783335,0.04100614111347379,0.08174262615427785,0.002205406512083294,0.005837091174298344,0.005882980300464974,0.00798186429103362,0.003870418122996555,0.00693671833980729,0.015723942749653972,0.0009516052086194179
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.968859649122807,0.9719064886811932,0.003046839558386155,0.032749543471236514,0.0490620071215221,0.09290198675599731,0.0023984794576001897,0.006771756393130796,0.005834741760392949,0.008460618228811017,0.005154954410883567,0.009065441532172891,0.017348755634693864,0.0008576649409418579
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.9539473684210525,0.9679497747875413,0.014002406366488623,0.03851390483949203,0.0670140247959923,0.12399968668238685,0.0040509435614222876,0.007042056679569685,0.006942611324268185,0.008105096447585464,0.0035846551447609957,0.00852261811186086,0.016753348269944533,0.0012275459106436282
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.9228070175438596,0.961611713732111,0.038804696188251366,0.06330882697113482,0.12819250067043458,0.3230495046626488,0.014121169691635899,0.010255285787757737,0.009531247667952993,0.01388036030493108,0.009073591734627245,0.017214040512239757,0.09471394176284303,0.0037001268188865313
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.8675438596491227,0.95795222517299,0.0904083655238672,0.10948286749954503,0.2212096040899257,0.6825865041452186,0.039519962044073764,0.010278016408450689,0.009052581638139327,0.012398171600915516,0.010051908639165608,0.022084930971833436,0.2094137091887588,0.008889828154246071
Breast Cancer,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.8149122807017545,0.9625209346618023,0.14760865396004796,0.16188373418119192,0.32586957409800166,1.2372885117656263,0.07312603319889369,0.015772431553917148,0.007700252829101459,0.016949496364645527,0.014356268844231404,0.028259429919366894,0.31272314367507537,0.010922538164355155
Breast Cancer,Random Forest,Raw,Feature masking,0.0,0.9526315789473683,0.9349842244497776,-0.01764735449759085,0.04758619465331351,0.07179220987052112,0.1388635665957674,0.006234070997658913,0.008496369863283025,0.003575464299925876,0.009442496509498313,0.00421664883537411,0.009253173598113482,0.02758355792457814,0.0021383392721680667
Breast Cancer,Random Forest,Raw,Feature masking,0.1,0.9530701754385964,0.9082299094958806,-0.04484026594271594,0.06385846560852175,0.08013271729903684,0.15482380607379115,0.008452135831689156,0.0076152338734008,0.005000345901182399,0.00943182831494442,0.006929605580912215,0.009239622511162483,0.01344683155831842,0.00300493152613895
Breast Cancer,Random Forest,Raw,Feature masking,0.2,0.9464912280701754,0.8811932094123932,-0.06529801865778224,0.0844905360623979,0.09200415381280361,0.18177078323632787,0.009821237588964065,0.009813405485175437,0.0061357584202548976,0.011445645688093219,0.006634968116599007,0.00874235821065527,0.012118550166719137,0.0034961253800434118
Breast Cancer,Random Forest,Raw,Feature masking,0.3,0.9460526315789475,0.8533989919242512,-0.09265363965469622,0.10646683792815766,0.10767649503327985,0.2131223488765141,0.01076700496062398,0.010456223236144868,0.006727504230459752,0.013701386798911199,0.010073543441363157,0.00816034970813508,0.010641680776988226,0.0038444686628557176
Breast Cancer,Random Forest,Raw,Feature masking,0.4,0.9359649122807017,0.8183985540239466,-0.11756635825675517,0.12721469994430737,0.13227865991218565,0.25491939803444474,0.01382683458178125,0.012908303112918969,0.006185588475316995,0.014782365162859554,0.010641301549376161,0.008913466345331288,0.010402399354993052,0.00414569425912729
Breast Cancer,Random Forest,Raw,Feature masking,0.5,0.9245614035087719,0.7869006780840987,-0.1376607254246732,0.14627198273461475,0.16017817489596126,0.2971379856977332,0.017793243442835623,0.010539585357277049,0.007195099291751527,0.013642632276886557,0.013411627711361703,0.008280969899732047,0.010348888514670331,0.005816150723046043
Breast Cancer,Random Forest,Raw,Gaussian noise,0.0,0.9526315789473683,0.9349842244497776,-0.01764735449759085,0.04758619465331351,0.07179220987052112,0.1388635665957674,0.006234070997658913,0.008496369863283025,0.0035754642999258814,0.009442496509498315,0.004216648835374113,0.009253173598113482,0.02758355792457814,0.0021383392721680667
Breast Cancer,Random Forest,Raw,Gaussian noise,0.25,0.9473684210526315,0.9068643281814632,-0.04050409287116828,0.06378114522427326,0.0825920548411085,0.15046083836420654,0.006164985710523599,0.010209672726439129,0.004561116685508569,0.010378208138833521,0.006953293614839899,0.008481462045096281,0.010727281391110888,0.0018484890488110433
Breast Cancer,Random Forest,Raw,Gaussian noise,0.5,0.9429824561403508,0.8472470753271837,-0.0957353808131672,0.10596046574772582,0.11413703126284627,0.2137831730090441,0.008338600551576428,0.00954008738115759,0.004460294821409612,0.011040831827183925,0.010174964973278857,0.006786022830643463,0.00814715187117712,0.002213586266663208
Breast Cancer,Random Forest,Raw,Gaussian noise,1.0,0.881578947368421,0.7440011299081019,-0.1375778174603192,0.14909187761069514,0.2128905836298219,0.3594834037273899,0.027795912349390255,0.015403142788493267,0.007184730432951714,0.013508802978251824,0.012020086902783698,0.011927985427170402,0.014680597150239567,0.006641509831143914
Breast Cancer,Random Forest,Raw,Gaussian noise,1.5,0.825,0.6858345391255918,-0.13916546087440823,0.15480555973266497,0.29017305966294926,0.45798478467971543,0.06335794517733499,0.016569752246418865,0.005996273901927262,0.016309773503796688,0.013213577125000599,0.011178638995223353,0.012924108249983728,0.009771032574087634
Breast Cancer,Random Forest,Raw,Gaussian noise,2.0,0.7578947368421052,0.6627475988582567,-0.09514713798384851,0.1312683966861598,0.3452188449749661,0.5217893990453786,0.11441852563107488,0.02891500359212045,0.005546364415078294,0.030026623363879842,0.020992831916799126,0.013395230669900013,0.014122656921259061,0.017148518568661418
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.0,0.9526315789473683,0.949178937712395,-0.003452641234973397,0.045035272051251886,0.0726685315382258,0.16064588625439644,0.006234070997658913,0.008496369863283025,0.011340502724239117,0.014433017571645591,0.007295758624192895,0.011322691228484632,0.05324629805068399,0.0021383392721680667
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.1,0.9530701754385964,0.9299347238469441,-0.02313545159165245,0.054764578757731,0.0787207312777993,0.1681636113535482,0.008452135831689156,0.0076152338734008,0.015841267805647846,0.017361177560947814,0.012066027282377927,0.012014035917108663,0.05047369430875659,0.00300493152613895
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.2,0.9464912280701754,0.9100550638965406,-0.03643616417363485,0.06886190693892995,0.08937965490510069,0.18667274832695818,0.009816309538500828,0.009813405485175437,0.019816046071046933,0.02367383124595314,0.015301115475106061,0.013696972365662499,0.04841207294298185,0.0034932060954744404
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.3,0.9460526315789475,0.8899815880650515,-0.05607104351389589,0.08487177708286742,0.10051518709492875,0.2062014913470073,0.01076700496062398,0.010456223236144868,0.024225709498813995,0.0278150561331323,0.019024614230238632,0.014736602623169146,0.04307988197811938,0.0038444686628557176
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.4,0.9359649122807017,0.8613888615288549,-0.074576050751847,0.10187869197919938,0.12080571553435886,0.23277240827637677,0.013811170421380248,0.012908303112918969,0.0263069822184892,0.03160819283439379,0.021322206359886697,0.016829894629173125,0.03190404198918231,0.004138755119223396
Breast Cancer,Random Forest,Temperature scaled,Feature masking,0.5,0.9245614035087719,0.8328045600247866,-0.09175684348398523,0.11864308129868908,0.14491783563667598,0.27433652178250567,0.01780417966441157,0.010539585357277049,0.028328530682514046,0.03186245566886576,0.02433114046605843,0.015406226762096067,0.033222307318877056,0.005820355411881143
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,0.0,0.9526315789473683,0.949178937712395,-0.003452641234973397,0.045035272051251886,0.0726685315382258,0.16064588625439644,0.006234070997658913,0.008496369863283025,0.01134050272423912,0.014433017571645591,0.007295758624192895,0.011322691228484632,0.053246298050683996,0.0021383392721680667
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,0.25,0.9473684210526315,0.9269610045075798,-0.020407416545051786,0.059935498726154855,0.08274485917474658,0.1559657341316136,0.006164985710523599,0.010209672726439129,0.015604748870247126,0.019939496766982603,0.012581850866256966,0.012044422619356955,0.03539583010444265,0.0018484890488110433
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,0.5,0.9429824561403508,0.8806712797684384,-0.062311176371912504,0.08088518195912163,0.10379277836843077,0.19575442487577355,0.008338600551576428,0.00954008738115759,0.021943537103691863,0.021594719214362984,0.017132616028047793,0.013157795004054737,0.027043119319547528,0.002213586266663208
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,1.0,0.881578947368421,0.7900100644998458,-0.09156888286857516,0.12268151117848727,0.19666577989453535,0.3330852301360447,0.027795912349390255,0.015403142788493267,0.027297833594811832,0.03164802996591934,0.02199902759339047,0.017630435916989762,0.0271524531751515,0.006641509831143914
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,1.5,0.825,0.7324451561952698,-0.09255484380473014,0.12082356615012893,0.2719218568968678,0.427140996742958,0.06335794517733499,0.016569752246418865,0.02677185283588736,0.026708428881377987,0.02052331092845669,0.01688257503193714,0.023521202485288575,0.009771032574087634
Breast Cancer,Random Forest,Temperature scaled,Gaussian noise,2.0,0.7578947368421052,0.7083786673929551,-0.0495160694491502,0.12030287578305592,0.33966148421551734,0.5216746318873982,0.11441385971095544,0.02891500359212045,0.028026706514219665,0.040713741517788914,0.02002469588426134,0.023550160120766835,0.041623440704156724,0.017149704329235328
Digits,Gradient Boosting,Raw,Feature masking,0.0,0.9650000000000001,0.9580762174828937,-0.006923782517106197,0.02102624503527335,0.05190329531641367,0.11394696487916041,0.0020067543697429913,0.00395770688589641,0.0027652438653467033,0.003657826356380153,0.0022589119200723384,0.005223779978741524,0.011334599303995435,0.00038457252102396314
Digits,Gradient Boosting,Raw,Feature masking,0.1,0.9254166666666667,0.9134104517892799,-0.012006214877386656,0.03442439073260133,0.1126683442268519,0.2456658335996338,0.009483429880159325,0.008164517261005894,0.003916085647633022,0.006504759300213381,0.003553928794458495,0.01012068981413923,0.021384465679211612,0.0016611968185035143
Digits,Gradient Boosting,Raw,Feature masking,0.2,0.8609722222222222,0.8598098630184359,-0.0011623592037863673,0.04553786812818909,0.20475706876469618,0.446811812486283,0.029622344795979146,0.010784333555089086,0.00381568645859825,0.009690960059986375,0.005108744404586563,0.01452418662081492,0.03386977989885929,0.004301192854721667
Digits,Gradient Boosting,Raw,Feature masking,0.3,0.7893055555555556,0.8007020914117042,0.011396535856148688,0.0655185701408186,0.30688485790118275,0.6679693767339671,0.06619043408864396,0.013172944379019282,0.004554984554608052,0.013208008318879383,0.00930083148889214,0.018547543839562985,0.04194801874014151,0.007949062355358536
Digits,Gradient Boosting,Raw,Feature masking,0.4,0.6913888888888888,0.7435296159264814,0.05214072703759254,0.08949988612333061,0.43466172697488314,0.9684088704867401,0.13304190829280402,0.014240713262685245,0.0069850715873163004,0.014309732769035695,0.008455193080175496,0.016239021688575286,0.04401602640866495,0.009100279641540348
