dataset,seed,model,calibration,shift,severity,temperature,n_test,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.956140350877193,0.954831026070663,-0.00130932480653001,0.024732470354607922,0.05681160442010345,0.09252612103926754,0.002642297577621296
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.956140350877193,0.970585256725941,0.014444905848748024,0.018294494502552456,0.05792596802907105,0.09738381384056857,0.002642297577621296
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.9649122807017544,0.9608571408185309,-0.00405513988322348,0.03899027084758162,0.04497473230392853,0.0772346631341731,0.0016894991460149832
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.9649122807017544,0.9803635835324396,0.015451302830685187,0.025604787131041994,0.047347318905186744,0.07481804974729608,0.0016894991460149832
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,0.9473684210526315,0.936644713239147,-0.010723707813484529,0.027590058265799827,0.06567006182801029,0.11424947367710271,0.003956070451301289
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,0.9473684210526315,0.9602206570354673,0.012852235982835802,0.022583275727041614,0.06385764066532928,0.11010836570404309,0.003956070451301289
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,0.9473684210526315,0.9259629641045931,-0.021405456948038415,0.050795507411530674,0.07367922759566273,0.12553196958932147,0.004078871546742585
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,0.9473684210526315,0.9564845359403865,0.009116114887754989,0.03069488298574663,0.07303104113721712,0.11313607148372774,0.004078871546742585
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,0.9473684210526315,0.9060590817573076,-0.04130933929532388,0.06934331042655571,0.09401369696442255,0.16308970105006368,0.007250907015270963
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,0.9473684210526315,0.9452416255460051,-0.002126795506626422,0.04993203752513272,0.09109658229561061,0.14957683358776888,0.007250907015270963
