dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,1,Random Forest,0.0,114,4,0.9649122807017544,0.9338913951545531,0.9405226839826841,0.7515309523809524,0.8677827903091061,0.8810453679653679,0.5030619047619047,0.25,0.9325964912280702,0.7669999999999999,0.24265996875661264,0.6789189057827404,-0.9896543277018792
Breast Cancer,1,Random Forest,0.25,114,6,0.9473684210526315,0.9137949874686717,0.9272997354497353,0.6707095238095239,0.8275899749373434,0.854599470899471,0.34141904761904773,0.0,0.9134035087719297,0.7046666666666667,0.32939982593257733,0.8406477436314123,-0.9853611268187835
Breast Cancer,1,Random Forest,0.5,114,9,0.9210526315789473,0.8420224171539963,0.8587193046107333,0.6472253968253968,0.6840448343079921,0.7174386092214664,0.29445079365079363,0.0,0.8359298245614037,0.664,0.5525700019823806,0.8839416309724457,-0.9758710826962984
Breast Cancer,1,Random Forest,1.0,114,11,0.9035087719298246,0.7327152882205514,0.747619325011558,0.5931593073593073,0.46543057644110275,0.4952386500231161,0.1863186147186147,0.0,0.7243157894736841,0.6156363636363635,0.7701996576341074,0.9415253925757948,-0.9580522993203073
Breast Cancer,1,Random Forest,1.5,114,26,0.7719298245614035,0.6711452520189363,0.6899867965367966,0.6073738705738706,0.3422905040378725,0.37997359307359313,0.21474774114774114,0.0,0.6764210526315789,0.6480000000000001,0.8589668362667365,0.9095910413174397,-0.9169022762125955
Breast Cancer,1,Random Forest,2.0,114,39,0.6578947368421053,0.6519307156780842,0.6801578835978837,0.5976477004477004,0.30386143135616817,0.3603157671957672,0.19529540089540087,0.0,0.6696842105263159,0.6461538461538461,0.8792248446747427,0.9242329251858373,-0.8862795822325756
Breast Cancer,1,Gradient Boosting,0.0,114,3,0.9736842105263158,0.9734447351058839,0.9777351847316532,0.8146980989524132,5.855506042348428,5.949901173755281,2.362886180294893,0.3333333333333333,,,,,
Breast Cancer,1,Gradient Boosting,0.25,114,3,0.9736842105263158,0.9690056963064305,0.9758592454876562,0.7154243766010868,5.445270759487406,5.561642064185609,1.1395324856538775,0.3333333333333333,,,,,
Breast Cancer,1,Gradient Boosting,0.5,114,7,0.9385964912280702,0.9583850293293373,0.9674618880082724,0.8196387609513307,4.6278277229351135,4.798975778243057,2.011707448942254,0.5714285714285714,,,,,
Breast Cancer,1,Gradient Boosting,1.0,114,16,0.8596491228070176,0.8981881210115635,0.934805947250049,0.6739039353008407,3.372325311648952,3.7816890885018766,0.8649721784247879,0.125,,,,,
