dataset,seed,model,calibration,shift,severity,temperature,n_test,coverage,risk
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,1.0,0.08771929824561403
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.7000000000000001,0.0125
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.8,0.021739130434782608
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.9,0.05825242718446602
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,1.0,0.08771929824561403
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.5,0.03508771929824561
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.6,0.043478260869565216
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.7000000000000001,0.075
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.8,0.07608695652173914
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.9,0.11650485436893204
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,1.0,0.15789473684210525
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.5,0.03508771929824561
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.6,0.043478260869565216
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.7000000000000001,0.075
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.8,0.07608695652173914
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.9,0.11650485436893204
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,1.0,0.15789473684210525
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.2,0.08695652173913043
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.30000000000000004,0.05714285714285714
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.4,0.06521739130434782
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.5,0.05263157894736842
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.6,0.08695652173913043
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.7000000000000001,0.1125
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.8,0.11956521739130435
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.9,0.1553398058252427
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,1.0,0.16666666666666666
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.2,0.08695652173913043
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.30000000000000004,0.05714285714285714
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.4,0.06521739130434782
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.5,0.05263157894736842
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.6,0.08695652173913043
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.7000000000000001,0.1125
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.8,0.11956521739130435
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.9,0.1553398058252427
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,1.0,0.16666666666666666
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,1.0,0.05263157894736842
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,1.0,0.05263157894736842
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,1.0,0.043859649122807015
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,1.0,0.043859649122807015
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,1.0,0.03508771929824561
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,1.0,0.03508771929824561
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,0.4,0.0
