dataset,seed,model,calibration,shift,severity,temperature,n_test,bin,bin_lower,bin_upper,count,bin_confidence,bin_accuracy
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.9065039413224362,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,14,0.9333333333333333,1.0,97,0.9940758695016456,0.979381443298969
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,8,0.5333333333333333,0.6,4,0.5654308657126355,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6223922300077405,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.7502245884620263,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8654408887116697,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,2,0.9040013909675275,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,14,0.9333333333333333,1.0,104,0.9969859095704342,0.9807692307692307
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5139392828684304,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5808186029771846,0.4
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6000809364814499,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,1,0.6888916479363427,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.7346010167582288,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,12,0.8,0.8666666666666667,3,0.8346355730450757,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.8951221188554381,0.6
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,14,0.9333333333333333,1.0,97,0.9946126451948267,0.9587628865979382
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5223627495093276,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5765940980879734,0.0
